year,day,time,impact,cur,text,actual,forecast,previous
2022,Jan 14,2:00am,low,GBP,Manufacturing Production m/m,1.1%,0.2%,0.1%
2022,Jan 14,2:45am,low,EUR,French Final CPI m/m,0.2%,0.2%,0.2%
2022,Jan 14,2:45am,low,EUR,French Gov Budget Balance,-181.0B,,-171.6B
2022,Jan 14,5:00am,low,EUR,Trade Balance,-1.3B,1.5B,1.8B
2022,Jan 14,8:15am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Jan 14,8:30am,high,USD,Core Retail Sales m/m,-2.3%,0.2%,0.1%
2022,Jan 14,8:30am,high,USD,Retail Sales m/m,-1.9%,0.0%,0.2%
2022,Jan 14,8:30am,low,USD,Import Prices m/m,-0.2%,0.2%,0.7%
2022,Jan 14,9:15am,medium,USD,Industrial Production m/m,-0.1%,0.2%,0.7%
2022,Jan 14,9:15am,low,USD,Capacity Utilization Rate,76.5%,77.1%,76.6%
2022,Jan 14,9:30am,low,GBP,CB Leading Index m/m,0.2%,,0.1%
2022,Jan 14,9:57am,low,GBP,NIESR GDP Estimate,1.2%,,1.1%
2022,Jan 14,10:00am,medium,USD,Prelim UoM Consumer Sentiment,68.8,70.0,70.6
2022,Jan 14,10:00am,low,USD,Business Inventories m/m,1.3%,1.3%,1.3%
2022,Jan 14,10:00am,low,USD,Prelim UoM Inflation Expectations,4.9%,,4.8%
2022,Jan 14,11:00am,low,USD,FOMC Member Williams Speaks,,,
2022,Jan 16,6:50pm,low,JPY,Core Machinery Orders m/m,3.4%,1.3%,3.8%
2022,Jan 16,7:01pm,low,GBP,Rightmove HPI m/m,0.3%,,-0.7%
2022,Jan 16,9:00pm,high,CNY,GDP q/y,4.0%,3.3%,4.9%
2022,Jan 16,9:00pm,medium,CNY,Retail Sales y/y,1.7%,3.8%,3.9%
2022,Jan 16,9:00pm,low,CNY,Fixed Asset Investment ytd/y,4.9%,4.9%,5.2%
2022,Jan 16,9:00pm,low,CNY,Industrial Production y/y,4.3%,3.7%,3.8%
2022,Jan 16,9:00pm,low,CNY,NBS Press Conference,,,
2022,Jan 16,9:00pm,low,CNY,Unemployment Rate,5.1%,5.0%,5.0%
2022,Jan 16,11:30pm,low,JPY,Tertiary Industry Activity m/m,0.4%,1.1%,1.9%
2022,Jan 17,Day 1,medium,All,WEF Annual Meetings,,,
2022,Jan 17,All Day,low,EUR,Eurogroup Meetings,,,
2022,Jan 17,All Day,holiday,USD,Bank Holiday,,,
2022,Jan 17,8:30am,low,CAD,Foreign Securities Purchases,30.15B,23.50B,22.30B
2022,Jan 17,8:30am,low,CAD,Manufacturing Sales m/m,2.6%,1.7%,4.6%
2022,Jan 17,10:30am,medium,CAD,BOC Business Outlook Survey,,,
2022,Jan 17,4:00pm,low,NZD,NZIER Business Confidence,-28,,-11
2022,Jan 17,9:45pm,high,JPY,BOJ Outlook Report,,,
2022,Jan 17,9:45pm,medium,JPY,Monetary Policy Statement,,,
2022,Jan 17,9:45pm,low,JPY,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
2022,Jan 17,11:30pm,low,JPY,Revised Industrial Production m/m,7.0%,7.2%,7.2%
2022,Jan 18,1:30am,medium,JPY,BOJ Press Conference,,,
2022,Jan 18,2:00am,low,GBP,Average Earnings Index 3m/y,4.2%,4.2%,4.9%
2022,Jan 18,2:00am,low,GBP,Claimant Count Change,-43.3K,-38.6K,-95.1K
2022,Jan 18,2:00am,low,GBP,Unemployment Rate,4.1%,4.2%,4.2%
2022,Jan 18,2:30am,low,CHF,PPI m/m,-0.1%,0.4%,0.5%
2022,Jan 18,4:00am,low,EUR,Italian Trade Balance,4.16B,4.23B,3.89B
2022,Jan 18,Day 2,medium,All,WEF Annual Meetings,,,
2022,Jan 18,5:00am,medium,EUR,ZEW Economic Sentiment,49.4,29.2,26.8
2022,Jan 18,5:00am,medium,EUR,German ZEW Economic Sentiment,51.7,32.1,29.9
2022,Jan 18,All Day,low,EUR,ECOFIN Meetings,,,
2022,Jan 18,8:13am,low,CAD,Housing Starts,236K,268K,304K
2022,Jan 18,8:30am,medium,USD,Empire State Manufacturing Index,-0.7,25.0,31.9
2022,Jan 18,9:25am,low,NZD,GDT Price Index,4.6%,,0.3%
2022,Jan 18,10:00am,low,USD,NAHB Housing Market Index,83,84,84
2022,Jan 18,4:00pm,low,USD,TIC Long-Term Purchases,137.4B,37.6B,7.1B
2022,Jan 18,6:30pm,low,AUD,Westpac Consumer Sentiment,-2.0%,,-1.0%
2022,Jan 19,2:00am,low,EUR,German Final CPI m/m,0.5%,0.5%,0.5%
2022,Jan 19,2:00am,high,GBP,CPI y/y,5.4%,5.2%,5.1%
2022,Jan 19,2:00am,low,GBP,Core CPI y/y,4.2%,3.9%,4.0%
2022,Jan 19,2:00am,low,GBP,PPI Input m/m,-0.2%,0.6%,1.5%
2022,Jan 19,2:00am,low,GBP,PPI Output m/m,0.3%,0.6%,1.0%
2022,Jan 19,2:00am,low,GBP,RPI y/y,7.5%,7.1%,7.1%
2022,Jan 19,4:00am,low,EUR,Current Account,23.6B,20.3B,19.4B
2022,Jan 19,Day 3,medium,All,WEF Annual Meetings,,,
2022,Jan 19,4:30am,low,GBP,HPI y/y,10.0%,10.0%,9.8%
2022,Jan 19,8:30am,high,CAD,CPI m/m,-0.1%,-0.1%,0.2%
2022,Jan 19,8:30am,medium,CAD,Common CPI y/y,2.1%,2.1%,2.0%
2022,Jan 19,8:30am,medium,CAD,Median CPI y/y,3.0%,2.9%,2.8%
2022,Jan 19,8:30am,medium,CAD,Trimmed CPI y/y,3.7%,3.4%,3.4%
2022,Jan 19,8:30am,low,CAD,Wholesale Sales m/m,3.5%,2.8%,1.4%
2022,Jan 19,8:30am,low,USD,Building Permits,1.87M,1.71M,1.71M
2022,Jan 19,8:30am,low,USD,Housing Starts,1.70M,1.65M,1.68M
2022,Jan 19,8:32am,low,CAD,Core CPI m/m,0.0%,,0.0%
2022,Jan 19,9:15am,high,GBP,BOE Gov Bailey Speaks,,,
2022,Jan 19,10:30am,low,AUD,CB Leading Index m/m,0.4%,,0.3%
2022,Jan 19,4:45pm,low,NZD,FPI m/m,0.6%,,-0.6%
2022,Jan 19,6:50pm,low,JPY,Trade Balance,-0.44T,-0.73T,-0.47T
2022,Jan 19,7:01pm,low,GBP,RICS House Price Balance,69%,69%,71%
2022,Jan 19,7:03pm,low,AUD,MI Inflation Expectations,4.4%,,4.8%
2022,Jan 19,7:30pm,high,AUD,Employment Change,64.8K,60.0K,366.1K
2022,Jan 19,7:30pm,high,AUD,Unemployment Rate,4.2%,4.5%,4.6%
2022,Jan 20,2:00am,low,EUR,German PPI m/m,5.0%,0.8%,0.8%
2022,Jan 20,Day 4,medium,All,WEF Annual Meetings,,,
2022,Jan 20,4:48am,low,EUR,Spanish 10-y Bond Auction,0.43|1.9,,0.39|2.1
2022,Jan 20,5:00am,low,EUR,Final CPI y/y,5.0%,5.0%,5.0%
2022,Jan 20,5:00am,low,EUR,Final Core CPI y/y,2.6%,2.6%,2.6%
2022,Jan 20,7:30am,low,EUR,ECB Monetary Policy Meeting Accounts,,,
2022,Jan 20,8:30am,medium,USD,Philly Fed Manufacturing Index,23.2,18.9,15.4
2022,Jan 20,8:30am,medium,USD,Unemployment Claims,286K,227K,231K
2022,Jan 20,8:35am,low,CAD,ADP Non-Farm Employment Change,19.2K,,102.1K
2022,Jan 20,10:00am,medium,USD,Existing Home Sales,6.18M,6.42M,6.48M
2022,Jan 20,10:30am,low,USD,Natural Gas Storage,-206B,-190B,-179B
2022,Jan 20,11:00am,medium,USD,Crude Oil Inventories,0.5M,-2.1M,-4.6M
2022,Jan 20,4:30pm,low,NZD,BusinessNZ Manufacturing Index,53.7,,51.2
2022,Jan 20,4:45pm,low,NZD,Visitor Arrivals m/m,44.0%,,59.6%
2022,Jan 20,6:30pm,low,JPY,National Core CPI y/y,0.5%,0.6%,0.5%
2022,Jan 20,6:50pm,low,JPY,Monetary Policy Meeting Minutes,,,
2022,Jan 20,7:01pm,low,GBP,GfK Consumer Confidence,-19,-15,-15
2022,Jan 21,2:00am,medium,GBP,Retail Sales m/m,-3.7%,-0.6%,1.0%
2022,Jan 21,Day 5,medium,All,WEF Annual Meetings,,,
2022,Jan 21,7:30am,medium,EUR,ECB President Lagarde Speaks,,,
2022,Jan 21,8:00am,low,GBP,MPC Member Mann Speaks,,,
2022,Jan 21,8:30am,medium,CAD,Core Retail Sales m/m,1.1%,1.1%,1.3%
2022,Jan 21,8:30am,medium,CAD,Retail Sales m/m,0.7%,1.2%,1.5%
2022,Jan 21,8:30am,low,CAD,NHPI m/m,0.2%,1.0%,0.8%
2022,Jan 21,9:57am,low,EUR,Consumer Confidence,-9,-9,-8
2022,Jan 21,10:00am,low,USD,CB Leading Index m/m,0.8%,0.8%,0.7%
2022,Jan 21,11:30am,medium,USD,Treasury Sec Yellen Speaks,,,
2022,Jan 23,5:00pm,low,AUD,Flash Manufacturing PMI,55.3,,57.7
2022,Jan 23,5:00pm,low,AUD,Flash Services PMI,45.0,,55.1
2022,Jan 23,7:30pm,low,JPY,Flash Manufacturing PMI,54.6,55.0,54.3
2022,Jan 24,3:15am,medium,EUR,French Flash Services PMI,53.1,55.3,57.0
2022,Jan 24,3:15am,low,EUR,French Flash Manufacturing PMI,55.5,55.2,55.6
2022,Jan 24,3:30am,high,EUR,German Flash Manufacturing PMI,60.5,56.9,57.4
2022,Jan 24,3:30am,high,EUR,German Flash Services PMI,52.2,47.9,48.7
2022,Jan 24,4:00am,low,EUR,Flash Manufacturing PMI,59.0,57.6,58.0
2022,Jan 24,4:00am,low,EUR,Flash Services PMI,51.2,51.9,53.1
2022,Jan 24,4:30am,medium,GBP,Flash Manufacturing PMI,56.9,57.7,57.9
2022,Jan 24,4:30am,medium,GBP,Flash Services PMI,53.3,53.9,53.6
2022,Jan 24,6:00am,low,EUR,German Buba Monthly Report,,,
2022,Jan 24,9:45am,medium,USD,Flash Manufacturing PMI,55.0,56.9,57.7
2022,Jan 24,9:45am,medium,USD,Flash Services PMI,50.9,54.9,57.6
2022,Jan 24,4:30pm,low,NZD,BusinessNZ Services Index,49.7,,47.2
2022,Jan 24,7:25pm,low,AUD,NAB Business Confidence,-12,,12
2022,Jan 24,7:30pm,high,AUD,CPI q/q,1.3%,1.0%,0.8%
2022,Jan 24,7:30pm,high,AUD,Trimmed Mean CPI q/q,1.0%,0.7%,0.7%
2022,Jan 25,12:00am,low,JPY,BOJ Core CPI y/y,0.9%,0.7%,0.8%
2022,Jan 25,2:00am,low,GBP,Public Sector Net Borrowing,16.1B,16.2B,14.0B
2022,Jan 25,4:00am,medium,EUR,German ifo Business Climate,95.7,94.6,94.8
2022,Jan 25,6:00am,low,GBP,CBI Industrial Order Expectations,24,22,24
2022,Jan 25,8:56am,low,EUR,Belgian NBB Business Climate,2.7,4.2,3.6
2022,Jan 25,9:00am,low,USD,HPI m/m,1.1%,1.1%,1.1%
2022,Jan 25,9:00am,low,USD,S&P/CS Composite-20 HPI y/y,18.3%,17.9%,18.5%
2022,Jan 25,9:59am,low,USD,Richmond Manufacturing Index,8,14,16
2022,Jan 25,10:00am,medium,USD,CB Consumer Confidence,113.8,111.4,115.2
2022,Jan 25,All Day,holiday,AUD,Bank Holiday,,,
2022,Jan 25,6:50pm,low,JPY,BOJ Summary of Opinions,,,
2022,Jan 25,6:50pm,low,JPY,SPPI y/y,1.1%,1.0%,1.1%
2022,Jan 25,9:00pm,low,NZD,Credit Card Spending y/y,1.2%,,-0.4%
2022,Jan 26,4:00am,low,CHF,Credit Suisse Economic Expectations,9.5,,0.0
2022,Jan 26,5:32am,low,EUR,German 10-y Bond Auction,-0.08|1.4,,-0.09|1.5
2022,Jan 26,8:30am,low,USD,Goods Trade Balance,-101.0B,-96.1B,-98.0B
2022,Jan 26,8:30am,low,USD,Prelim Wholesale Inventories m/m,2.1%,1.3%,1.4%
2022,Jan 26,10:00am,high,CAD,BOC Monetary Policy Report,,,
2022,Jan 26,10:00am,high,CAD,BOC Rate Statement,,,
2022,Jan 26,10:00am,high,CAD,Overnight Rate,0.25%,0.25%,0.25%
2022,Jan 26,10:00am,low,USD,New Home Sales,811K,759K,725K
2022,Jan 26,10:30am,medium,USD,Crude Oil Inventories,2.4M,1.0M,0.5M
2022,Jan 26,11:00am,high,CAD,BOC Press Conference,,,
2022,Jan 26,2:00pm,high,USD,FOMC Statement,,,
2022,Jan 26,2:00pm,high,USD,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2022,Jan 26,2:30pm,high,USD,FOMC Press Conference,,,
2022,Jan 26,4:45pm,high,NZD,CPI q/q,1.4%,1.3%,2.2%
2022,Jan 26,6:30pm,low,AUD,MI Leading Index m/m,0.0%,,0.2%
2022,Jan 26,7:30pm,low,AUD,Import Prices q/q,5.8%,1.4%,5.4%
2022,Jan 27,2:00am,low,CHF,Trade Balance,3.69B,5.23B,6.10B
2022,Jan 27,2:00am,low,EUR,German GfK Consumer Climate,-6.7,-7.9,-6.9
2022,Jan 27,3:00am,low,EUR,Spanish Unemployment Rate,13.3%,14.2%,14.6%
2022,Jan 27,6:00am,low,GBP,CBI Realized Sales,28,11,8
2022,Jan 27,8:30am,high,USD,Advance GDP q/q,6.9%,5.3%,2.3%
2022,Jan 27,8:30am,medium,USD,Advance GDP Price Index q/q,6.9%,6.0%,6.0%
2022,Jan 27,8:30am,medium,USD,Core Durable Goods Orders m/m,0.4%,0.4%,0.9%
2022,Jan 27,8:30am,medium,USD,Durable Goods Orders m/m,-0.9%,-0.6%,2.6%
2022,Jan 27,8:30am,medium,USD,Unemployment Claims,260K,260K,290K
2022,Jan 27,10:00am,medium,USD,Pending Home Sales m/m,-3.8%,-0.9%,-2.3%
2022,Jan 27,10:30am,low,USD,Natural Gas Storage,-219B,-205B,-206B
2022,Jan 27,6:30pm,low,JPY,Tokyo Core CPI y/y,0.2%,0.3%,0.5%
2022,Jan 27,7:30pm,low,AUD,PPI q/q,1.3%,0.9%,1.1%
2022,Jan 28,1:30am,low,EUR,French Consumer Spending m/m,0.2%,0.1%,0.9%
2022,Jan 28,1:30am,low,EUR,French Flash GDP q/q,0.7%,0.5%,3.1%
2022,Jan 28,2:00am,low,EUR,German Import Prices m/m,0.1%,1.8%,3.0%
